,tgt_rate,cpi_yoy,pce_yoy,gdp_yoy,unrate,unrate_chg_3m,vix,t10y2y,eq_ret_12m,y
2002-04-01,1.75,1.643990929705219,1.1877053213986466,1.3253787532159889,5.9,0.20000000000000018,19.900454545454547,1.7881818181818183,-9.055441943688036,1
2002-05-01,1.75,1.2408347433727984,0.9882602639782245,1.3253787532159889,5.8,0.09999999999999964,20.087727272727275,1.9004545454545456,-23.87835905639345,1
2002-06-01,1.75,1.0692177827799743,0.9362006409068035,1.3253787532159889,5.8,0.09999999999999964,25.271,1.9335,-28.71923186446227,1
2002-07-01,1.75,1.465614430665152,1.1921635118487872,2.1465169830615416,5.8,-0.10000000000000053,34.04954545454546,2.096363636363636,-33.820076894909114,1
2002-08-01,1.75,1.747463359639223,1.402946319749887,2.1465169830615416,5.7,-0.09999999999999964,33.74272727272727,2.1236363636363635,-31.214604259509116,1
2002-09-01,1.75,1.516002245929271,1.9328166748640685,2.1465169830615416,5.7,-0.09999999999999964,37.6475,1.8655000000000002,-20.481723245895612,1
2002-10-01,1.75,2.0270270270270174,1.7604514385630265,1.9925248221954739,5.7,-0.09999999999999964,35.24304347826087,2.0290909090909093,-25.02471924268691,0
2002-11-01,1.25,2.2535211267605604,1.9299850214074654,1.9925248221954739,5.9,0.20000000000000018,28.175,2.125263157894737,-24.64681850439927,1
2002-12-01,1.25,2.4802705749718212,2.13367302257077,1.9925248221954739,6.0,0.2999999999999998,28.21047619047619,2.1961904761904765,-29.86072002136284,1
2003-01-01,1.25,2.757456387169399,2.3465153584070197,1.6792570124718242,5.8,0.09999999999999964,27.424285714285713,2.305238095238095,-29.66529791044259,1
2003-02-01,1.25,3.146067415730336,2.6046216151830226,1.6792570124718242,5.9,0.0,32.21842105263158,2.274736842105263,-27.096833248232343,1
2003-03-01,1.25,3.025210084033625,2.589654580732015,1.6792570124718242,5.9,-0.09999999999999964,30.634285714285717,2.2333333333333334,-27.5648649585035,1
